Designator,Val,Package,Mid X,Mid Y,Rotation,Placement
C1,10uF/50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.606,-118.3425,90,top
C2,22uF/10V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.606,-113.3055,-90,top
D1,1N4148WS,D_SOD-323_HandSoldering,152.42,-103.632,180,top
D2,1N4148WS,D_SOD-323_HandSoldering,152.42,-101.092,180,top
D3,1N4148WS,D_SOD-323_HandSoldering,152.42,-98.552,180,top
D4,B5819W,D_SOD-123,135.636,-118.746,90,top
D5,TX,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.327,-96.012,180,top
D6,RX,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.327,-93.726,180,top
F1,750mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,132.588,-118.746,90,top
J1,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",124.714,-97.282,-90,top
J2,Conn_01x11,PinHeader_1x11_P2.54mm_Vertical_ExtendedPads,161.798,-110.49,180,top
J3,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",124.714,-113.538,-90,top
Q1,2N7002,SOT-23_Handsoldering,158.838,-78.486,0,top
Q2,AO3400A,SOT-23_Handsoldering,158.838,-74.356,180,top
Q3,AO3400A,SOT-23_Handsoldering,122.912,-70.612,0,top
Q4,AO3400A,SOT-23_Handsoldering,122.706,-85.024,0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.698,-81.28,0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.714,-78.994,180,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.988,-68.58,0,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.714,-73.914,180,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.698,-88.137,180,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.588,-106.95,90,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,159.782,-81.788,180,top
R8,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.988,-71.12,180,top
R9,DNP,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.714,-76.2,180,top
R10,DNP,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.714,-90.424,180,top
R11,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,143.018,-96.012,0,top
R12,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,143.018,-93.726,180,top
U1,WeMos_D1_mini,WEMOS_D1_mini_light,129.5475,-66.04,0,top
U2,K7805-500R3,Converter_DCDC_RECOM_R-78HB-0.5_THT_JLC_small,160.02,-119.38,180,top
